チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,2.08,4,0,4,0,0,1,0,1,0,0,0,4.1,3,0,3,2,0,1,1,1.15,0.188,-,4.33
阪神,4.76,6,0,6,1,0,0,0,1,1,1,0,5.2,5,1,6,2,1,3,3,1.24,0.227,-,1.89
広島,4.5,7,0,7,2,0,1,0,3,2,2,0,8.0,9,0,7,0,0,4,4,1.13,0.281,-,2.0
ヤクルト,0.84,10,0,10,0,1,2,0,2,0,0,1,10.2,11,1,9,2,0,2,1,1.22,0.262,-,5.33
中日,0.0,5,0,5,1,0,0,0,1,1,1,0,4.2,2,0,5,1,0,0,0,0.64,0.125,-,99.0
