防御率3.29,試合19,先発0,救援19,連投(試)1,連投(日)1,勝利1,敗戦0,HLD6,Ｓ0,ＨＰ7,ＳＰ1,救勝1,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,13.2,58,276,20.2,8,0,13,10,0,0,1,0,5,5,1.32,-
