アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,6,15.0%,安打,8,44.4%
フライ,19,47.5%,四死球,10,55.6%
空三振,12,30.0%,失策出塁,0,0.0%
見三振,1,2.5%,野選,0,0.0%
犠打,2,5.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
