防御率3.58,試合9,先発7,救援2,連投(試)0,連投(日)0,勝利3,敗戦4,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.429,37.2,162,623,16.5,35,4,25,14,2,1,1,0,19,15,1.30,42.9%
