NOI453.5,GPA.245,RC54.72,RC274.71,XR53.21,XR274.58,RCAA11.11,XR+9.08,RCWIN1.28,XRWIN1.05,BABIP.345
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.11,0.013,63.29,7.03,0.105,83.60,0.141,0.632,7.06,16.9%,
