守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,.304,86,329,309,37,94,14,6,3,129,39,42,5,0,2,9,4,10,4,6,.316,.417,0.733
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.278,4,18,18,0,5,1,0,0,6,3,4,0,0,0,0,0,2,0,0,.278,.333,0.611
中堅手,.292,17,69,65,4,19,1,0,1,23,4,12,1,0,1,2,0,0,0,0,.313,.354,0.667
右翼手,.400,3,11,10,2,4,1,0,1,8,3,2,1,0,0,0,0,0,0,0,.455,.800,1.255
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.313,15,16,16,1,5,0,0,0,5,0,3,0,0,0,0,0,0,0,0,.313,.313,0.625
