条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.231,78,65,15,2,0,3,3,18,13,0,0,0,0.359
1塁,0.2,20,15,3,2,0,0,0,6,4,0,1,0,0.368
2塁,0.143,11,7,1,0,0,0,0,1,4,0,0,0,0.455
3塁,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0.0
1・2塁,0.3,10,10,3,1,1,0,3,4,0,0,0,0,0.3
1・3塁,0.25,6,4,1,0,0,0,2,0,1,0,0,1,0.333
2・3塁,0.0,2,2,0,0,0,0,0,1,0,0,0,0,0.0
満塁,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
得点圏,0.2,31,25,5,1,1,0,5,7,5,0,0,1,0.323
