月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.308,9,15,13,5,4,2,1,0,8,0,4,2,0,0,0,0,0,1,1,.400,.615,1.015
5月,.143,11,25,21,3,3,2,0,1,8,3,5,4,0,0,0,0,0,0,1,.280,.381,0.661
6月,.050,12,23,20,1,1,1,0,0,2,0,7,0,0,3,0,0,0,0,1,.174,.100,0.274
7月,.000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
8月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
9月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
10月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
