HQS率25.0%,SQS率25.0%,被打率.253,被BABIP.322,被出塁率.344,被長打率.342,K/BB2.11,K/97.77,BB/93.68,HR/90.41,GO/AO1.35,援護率3.00,IPR0.44,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.13,70.9%,-2.01,-0.24,-2.73,76,1.1,21,7,1.1,3,0,0,
