球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,764,43.8%,146.8,40,140,149,280,43.1%,11.6%,.312,173,54,2,19,29,2
スライダー,213,12.2%,128.5,24,39,37,80,46.9%,25.5%,.238,42,10,1,9,3,0
カットボール,182,10.4%,137.0,14,42,26,67,45.1%,19.2%,.237,38,9,0,6,3,1
フォーク,160,9.2%,136.5,27,11,33,58,44.4%,29.7%,.268,41,11,0,12,1,0
チェンジアップ,113,6.5%,131.5,16,21,15,37,46.0%,29.1%,.258,31,8,0,7,1,0
カーブ,103,5.9%,119.6,5,20,14,39,37.9%,11.4%,.370,27,10,0,2,0,0
ツーシーム,93,5.3%,143.2,8,12,14,35,36.6%,17.4%,.222,27,6,0,4,1,1
ナックルカーブ,36,2.1%,126.6,2,9,3,17,38.9%,20.0%,.200,5,1,0,0,0,0
スプリット,36,2.1%,141.3,4,0,7,18,30.6%,22.2%,.125,8,1,0,1,3,0
シンカー,18,1.0%,130.3,1,3,4,6,44.4%,11.1%,.167,6,1,0,2,0,0
縦スライダー,9,0.5%,127.8,0,3,0,3,33.3%,0.0%,.333,3,1,0,0,0,0
シュート,9,0.5%,139.3,1,1,3,3,55.6%,20.0%,.000,1,0,0,0,0,1
スローカーブ,3,0.2%,101.3,1,0,1,1,66.7%,50.0%,-,0,0,0,0,0,0
スラーブ,2,0.1%,111.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
パワーカーブ,1,0.1%,125.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
パーム,1,0.1%,112.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
ワンシーム,1,0.1%,-,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
