球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,545,60.2%,151.9,50,101,117,174,49.2%,18.5%,0.244,131,32,4,31,12,0
フォーク,296,32.7%,140.2,74,28,37,115,47.0%,48.4%,0.133,75,10,2,33,6,0
スライダー,54,6.0%,139.4,10,10,8,21,51.9%,43.5%,0.286,7,2,0,2,0,0
カーブ,10,1.1%,123.3,0,3,1,4,40.0%,0.0%,0.5,2,1,0,0,0,0
