HQS率-,SQS率-,被打率.209,被BABIP.273,被出塁率.277,被長打率.344,K/BB3.30,K/99.96,BB/93.02,HR/90.91,GO/AO0.98,援護率-,IPR3.73,NHB%38.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.74,86.6%,6.17,0.71,6.15,529,8.2,0,0,59.2,16,24,52,
