球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,108,40.6%,148.3,16,13,25,31,50.0%,25.0%,.185,27,5,0,8,2,0
スライダー,37,13.9%,132.2,7,6,7,13,54.1%,38.9%,.143,7,1,0,3,0,0
チェンジアップ,22,8.3%,130.9,9,3,4,4,72.7%,60.0%,.200,5,1,0,3,0,0
カーブ,21,7.9%,118.5,2,5,1,10,38.1%,33.3%,.200,5,1,0,2,0,0
カットボール,20,7.5%,138.4,4,2,7,5,65.0%,30.8%,.250,4,1,0,2,0,0
フォーク,16,6.0%,136.2,3,2,2,5,43.8%,33.3%,.500,4,2,0,0,0,0
ツーシーム,13,4.9%,146.7,1,2,3,3,46.2%,12.5%,.400,5,2,0,1,0,0
スプリット,11,4.1%,145.5,3,0,1,6,36.4%,60.0%,.000,2,0,0,1,0,0
ナックルカーブ,8,3.0%,126.8,1,5,0,2,75.0%,100.0%,.000,2,0,0,2,0,0
縦スライダー,3,1.1%,134.0,1,0,0,2,33.3%,100.0%,-,0,0,0,0,0,0
シンカー,3,1.1%,128.0,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
スクリュー,2,0.8%,134.5,0,0,2,0,100.0%,0.0%,-,0,0,0,0,0,0
シュート,2,0.8%,146.0,0,0,2,0,100.0%,0.0%,-,0,0,0,0,0,0
