NOI320.1,GPA.169,RC3.44,RC271.78,XR3.56,XR271.85,RCAA-3.16,XR+-3.11,RCWIN-0.37,XRWIN-0.36,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.09,0.025,33.50,3.05,0.033,-,0.082,0.375,0.00,35.8%,
