左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
35.9% (14),35.9% (14),35.9% (14),17.9% (7),17.9% (7),17.9% (7),46.2% (18),46.2% (18),46.2% (18)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
23.1% (3),- (0),42.3% (11),30.8% (4),- (0),11.5% (3),46.2% (6),- (0),46.2% (12)
