NOI354.8,GPA.191,RC4.41,RC271.95,XR4.33,XR271.91,RCAA-2.91,XR+-3.03,RCWIN-0.34,XRWIN-0.36,BABIP.261
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.26,0.064,12.83,3.35,0.129,70.00,0.214,0.467,0.00,39.0%,
