HQS率0.0%,SQS率0.0%,被打率.261,被BABIP.292,被出塁率.301,被長打率.383,K/BB3.00,K/95.40,BB/91.80,HR/90.60,GO/AO0.83,援護率0.00,IPR3.50,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.00,84.8%,3.15,0.36,3.13,110,9.0,2,0,28.0,8,4,15,
