球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,5,55.6%,152.8,1,2,1,0,80.0%,33.3%,0.0,1,0,0,0,0,0
ナックルカーブ,3,33.3%,131.7,1,1,0,1,66.7%,100.0%,0.0,1,0,0,1,0,0
チェンジアップ,1,11.1%,138.0,1,0,0,0,100.0%,100.0%,0.0,1,0,0,1,0,0
