NOI0.0,GPA.000,RC-0.15,RC27-1.31,XR-0.11,XR27-0.95,RCAA-0.43,XR+-0.39,RCWIN-0.05,XRWIN-0.05,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.50,0.000,-,0.333,0.333,0.00,66.7%,
