NOI252.6,GPA.129,RC0.37,RC270.52,XR0.47,XR270.67,RCAA-1.82,XR+-1.73,RCWIN-0.21,XRWIN-0.20,BABIP.231
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.042,23.00,3.83,-0.000,-,0.053,0.250,-,30.4%,
