NOI382.1,GPA.205,RC12.72,RC272.60,XR13.99,XR272.86,RCAA-3.72,XR+-2.54,RCWIN-0.44,XRWIN-0.30,BABIP.252
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.35,0.064,12.36,4.33,0.123,51.33,0.214,0.516,0.00,32.9%,
