打率.208,試合62,打席173,打数154,得点7,安打32,内安1,内安率3.1,２Ｂ10,３Ｂ0,本塁3,HR勝敗2-1-0,塁打51,打点22,三振40
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,1,1,0,4,0,0,-,3,0,6,.214,.272,.331,.603
