HQS率23.1%,SQS率23.1%,被打率.224,被BABIP.292,被出塁率.293,被長打率.299,K/BB2.85,K/99.08,BB/93.18,HR/90.47,GO/AO0.87,援護率2.78,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.46,78.5%,4.37,0.51,4.78,259,0.0,81,25,0.0,0,0,0,
