NOI237.0,GPA.118,RC-0.27,RC27-0.66,XR-0.21,XR27-0.52,RCAA-1.41,XR+-1.36,RCWIN-0.17,XRWIN-0.16,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.089,12.00,2.40,0.000,-,0.111,0.222,-,50.0%,
