HQS率7.1%,SQS率7.1%,被打率.283,被BABIP.324,被出塁率.329,被長打率.454,K/BB3.10,K/97.44,BB/92.40,HR/91.37,GO/AO1.19,援護率3.73,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.86,80.7%,-6.44,-0.76,-6.02,286,0.0,82,34,0.0,0,0,0,
