防御率3.66,試合14,先発14,救援0,連投(試)0,連投(日)0,勝利5,敗戦3,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.625,78.2,339,1337,17.0,89,12,65,21,2,1,1,0,35,32,1.40,57.1%
