NOI0.0,GPA.000,RC-0.42,RC27-2.86,XR-0.38,XR27-2.59,RCAA-0.80,XR+-0.77,RCWIN-0.09,XRWIN-0.09,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.33,0.000,-,0.000,0.000,-,75.0%,
