防御率15.43,試合3,先発0,救援3,連投(試)0,連投(日)0,勝利0,敗戦1,HLD0,Ｓ1,ＨＰ0,ＳＰ1,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,2.1,14,47,20.1,5,1,1,2,0,0,0,0,4,4,3.00,-
