HQS率-,SQS率-,被打率.455,被BABIP.444,被出塁率.538,被長打率.727,K/BB0.50,K/93.86,BB/97.71,HR/93.86,GO/AO0.67,援護率-,IPR0.58,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
10.02,53.6%,-3.13,-0.36,-3.21,17,0.1,0,0,2.1,4,0,2,
