打率.239,試合104,打席212,打数188,得点30,安打45,内安3,内安率6.7,２Ｂ7,３Ｂ5,本塁5,HR勝敗4-1-0,塁打77,打点18,三振72
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
13,0,1,9,1,10,2,83.3,1,0,2,.277,.291,.410,.700
