NOI427.2,GPA.233,RC23.78,RC274.09,XR23.90,XR274.11,RCAA2.91,XR+2.79,RCWIN0.34,XRWIN0.32,BABIP.357
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.18,0.051,16.31,2.94,0.170,37.60,0.282,0.673,6.67,42.5%,
