HQS率-,SQS率-,被打率.286,被BABIP.294,被出塁率.423,被長打率.571,K/BB0.75,K/95.06,BB/96.75,HR/91.69,GO/AO0.71,援護率-,IPR0.89,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
6.90,52.1%,-4.06,-0.48,-4.24,26,4.1,0,0,5.1,6,0,1,
