条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.222,63,54,12,3,1,1,12,7,0,0,2
対左打者,0.362,56,47,17,1,0,0,8,7,0,2,0
