NOI166.7,GPA.088,RC-0.19,RC27-0.72,XR-0.13,XR27-0.50,RCAA-0.95,XR+-0.89,RCWIN-0.11,XRWIN-0.11,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,0.143,-,0.0%,
