HQS率-,SQS率-,被打率.244,被BABIP.295,被出塁率.318,被長打率.333,K/BB2.13,K/97.40,BB/93.48,HR/90.44,GO/AO0.68,援護率-,IPR2.07,NHB%36.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.88,67.7%,-2.32,-0.27,-3.02,142,5.2,0,0,20.2,10,8,15,
