HQS率0.0%,SQS率0.0%,被打率.366,被BABIP.382,被出塁率.411,被長打率.512,K/BB1.00,K/92.70,BB/92.70,HR/90.45,GO/AO0.84,援護率1.64,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.84,61.8%,-7.57,-0.87,-8.25,60,0.0,22,4,0.0,0,0,0,
