防御率6.75,試合4,先発4,救援0,連投(試)0,連投(日)0,勝利0,敗戦2,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,20.0,94,372,18.6,30,1,6,6,0,1,0,0,15,15,1.80,0.0%
