条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,1,2,1,0,0,0,0,0,0,0,4
敗戦,10,4,8,5,10,3,0,0,0,0,0,0,40
勝敗無,1,1,1,4,4,1,1,0,0,0,0,0,13
