HQS率0.0%,SQS率0.0%,被打率.322,被BABIP.376,被出塁率.363,被長打率.470,K/BB5.25,K/97.27,BB/91.38,HR/90.69,GO/AO1.12,援護率4.67,IPR0.17,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.08,40.3%,-18.56,-2.19,-14.41,98,1.2,27,14,1.2,10,0,0,
