アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,48,37.8%,安打,38,80.9%
フライ,26,20.5%,四死球,8,17.0%
空三振,40,31.5%,失策出塁,1,2.1%
見三振,8,6.3%,野選,0,0.0%
犠打,5,3.9%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
