防御率2.28,試合8,先発8,救援0,連投(試)0,連投(日)0,勝利3,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.750,43.1,174,627,14.5,38,3,48,8,0,0,0,0,16,11,1.06,50.0%
