HQS率12.5%,SQS率12.5%,被打率.236,被BABIP.318,被出塁率.272,被長打率.317,K/BB6.00,K/99.97,BB/91.66,HR/90.62,GO/AO1.85,援護率2.93,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.01,71.8%,-0.27,-0.03,3.31,160,0.0,46,15,0.0,0,0,0,
