NOI190.5,GPA.100,RC-0.09,RC27-0.42,XR-0.05,XR27-0.22,RCAA-0.78,XR+-0.75,RCWIN-0.09,XRWIN-0.09,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,7.00,0.000,-,0.000,0.167,-,14.3%,
