HQS率-,SQS率-,被打率.164,被BABIP.202,被出塁率.215,被長打率.264,K/BB4.75,K/98.41,BB/91.77,HR/90.66,GO/AO0.84,援護率-,IPR3.70,NHB%59.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.45,75.5%,3.76,0.44,3.43,362,3.2,0,0,40.2,11,25,37,
