種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,1.38,26,0,26,2,2,7,8,9,10,2,2,26.0,11,2,27,5,1,4,4,0.62,0.128,-,6.5
Visitor,3.68,16,0,16,1,1,0,6,1,7,1,1,14.2,12,1,11,3,0,7,6,1.02,0.222,-,2.1
