NOI392.6,GPA.206,RC12.87,RC272.87,XR13.01,XR272.90,RCAA-2.90,XR+-2.85,RCWIN-0.34,XRWIN-0.34,BABIP.304
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.048,16.60,5.53,0.045,-,0.117,0.475,0.00,24.1%,
