打率.247,試合79,打席166,打数154,得点10,安打38,内安8,内安率21.1,２Ｂ3,３Ｂ2,本塁0,HR勝敗0,塁打45,打点15,三振30
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,1,1,0,1,2,1,66.7,0,0,3,.296,.295,.292,.587
