チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,0.5,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0
日本ハム,0.0,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ロッテ,0.125,2,10,8,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0.3,0.125,0.425
楽天,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
オリックス,0.5,2,5,4,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0.6,0.5,1.1
西武,0.143,2,8,7,0,1,0,1,0,3,1,2,1,0,0,0,0,0,0,0,0.25,0.429,0.679
