左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
35.8% (44),35.8% (44),35.8% (44),23.6% (29),23.6% (29),23.6% (29),40.7% (50),40.7% (50),40.7% (50)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
26.3% (10),- (0),40.0% (34),26.3% (10),- (0),22.4% (19),47.4% (18),- (0),37.6% (32)
