防御率1.67,試合44,先発0,救援44,連投(試)1,連投(日)1,勝利1,敗戦2,HLD17,Ｓ17,ＨＰ18,ＳＰ18,救勝1,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,43.0,177,689,16.0,38,2,41,13,3,1,1,0,8,8,1.19,-
