アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,34,36.2%,安打,29,78.4%
フライ,32,34.0%,四死球,7,18.9%
空三振,19,20.2%,失策出塁,1,2.7%
見三振,5,5.3%,野選,0,0.0%
犠打,4,4.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
