打率.255,試合46,打席182,打数161,得点14,安打41,内安3,内安率7.3,２Ｂ8,３Ｂ1,本塁2,HR勝敗1-1-0,塁打57,打点12,三振23
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
12,0,2,6,1,0,0,-,3,0,7,.325,.313,.354,.667
