NOI430.5,GPA.229,RC16.64,RC273.35,XR16.48,XR273.32,RCAA-1.28,XR+-1.65,RCWIN-0.15,XRWIN-0.19,BABIP.285
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.52,0.058,15.17,7.91,0.099,80.50,0.174,0.559,0.00,20.3%,
