防御率1.69,試合6,先発6,救援0,連投(試)0,連投(日)0,勝利4,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.800,37.1,141,541,14.5,23,3,27,10,1,1,0,0,7,7,0.88,83.3%
