HQS率33.3%,SQS率33.3%,被打率.180,被BABIP.204,被出塁率.245,被長打率.273,K/BB2.70,K/96.51,BB/92.41,HR/90.72,GO/AO1.44,援護率4.71,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.17,90.6%,6.55,0.77,5.33,152,0.0,42,22,0.0,0,0,0,
