球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,573,41.2%,145.4,10,149,112,177,47.3%,4.0%,.313,131,41,5,10,10,2
スライダー,199,14.3%,128.9,25,34,28,76,43.7%,28.1%,.283,46,13,1,10,1,0
カットボール,146,10.5%,136.3,14,27,27,50,46.6%,20.3%,.281,32,9,0,4,2,1
フォーク,119,8.5%,135.3,25,10,16,44,42.9%,38.5%,.162,37,6,2,13,0,0
チェンジアップ,108,7.8%,125.9,18,12,9,43,36.1%,34.0%,.161,31,5,0,5,1,0
ツーシーム,76,5.5%,140.0,3,19,8,28,39.5%,10.3%,.300,20,6,0,2,1,0
カーブ,54,3.9%,115.6,2,14,5,21,38.9%,10.5%,.500,12,6,0,0,0,0
シュート,53,3.8%,145.6,2,12,9,16,43.4%,8.0%,.200,15,3,0,1,1,0
スプリット,31,2.2%,137.6,3,3,4,13,32.3%,20.0%,.333,9,3,0,1,0,0
ナックルカーブ,16,1.1%,125.4,2,1,2,10,31.3%,40.0%,.333,3,1,0,2,0,0
シンカー,8,0.6%,137.9,0,3,1,1,50.0%,0.0%,.333,3,1,0,0,0,0
縦スライダー,4,0.3%,124.0,0,0,0,2,0.0%,0.0%,.500,2,1,0,0,0,0
スクリュー,3,0.2%,136.0,0,1,0,0,33.3%,0.0%,1.000,2,2,1,0,0,0
ワンシーム,1,0.1%,147.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
スローボール,1,0.1%,81.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
