チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.274,18,75,73,14,20,3,1,6,43,10,15,2,1,0,0,0,0,0,0,0.293,0.589,0.882
阪神,0.3,18,62,60,4,18,2,1,0,22,2,5,1,0,1,0,0,0,2,0,0.323,0.367,0.689
ＤｅＮＡ,0.211,21,82,76,4,16,4,1,0,22,3,15,2,0,2,1,1,0,0,0,0.247,0.289,0.536
ヤクルト,0.348,19,73,66,10,23,7,0,1,33,7,5,6,0,0,1,0,0,2,1,0.403,0.5,0.903
中日,0.34,15,57,50,8,17,3,0,1,23,5,5,6,0,0,1,0,2,2,0,0.411,0.46,0.871
