防御率2.84,試合43,先発0,救援43,連投(試)0,連投(日)0,勝利2,敗戦1,HLD13,Ｓ1,ＨＰ15,ＳＰ3,救勝2,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,38.0,166,634,16.7,45,0,35,7,2,2,0,0,13,12,1.37,-
