条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.293,88,82,24,2,0,0,23,5,0,1,0
対左打者,0.292,78,72,21,3,0,0,12,2,2,2,0
