条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,.247,88,85,21,2,0,0,22,2,1,0,0,.273
1塁,.394,34,33,13,2,0,0,7,0,0,1,0,.394
2塁,.250,6,4,1,0,0,0,2,2,0,0,0,.500
3塁,-,0,0,0,0,0,0,0,0,0,0,0,-
1・2塁,.188,18,16,3,1,0,0,3,0,0,2,0,.188
1・3塁,.250,4,4,1,0,0,0,0,0,0,0,0,.250
2・3塁,.000,6,3,0,0,0,0,0,3,0,0,0,.500
満塁,.667,10,9,6,0,0,0,1,0,1,0,0,.700
得点圏,.306,44,36,11,1,0,0,6,5,1,2,0,.405
