NOI0.0,GPA.000,RC-0.07,RC27-0.30,XR0.11,XR270.51,RCAA-0.54,XR+-0.36,RCWIN-0.06,XRWIN-0.04,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.50,0.000,-,0.800,0.667,0.00,40.0%,
