条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.133,32,30,4,0,0,1,11,2,0,0,0
対左打者,0.276,30,29,8,1,0,1,10,1,0,0,0
