防御率6.93,試合12,先発3,救援9,連投(試)1,連投(日)1,勝利0,敗戦2,HLD4,Ｓ0,ＨＰ4,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,24.2,115,404,16.4,36,2,19,7,0,1,0,0,22,19,1.74,0.0%
