HQS率20.0%,SQS率20.0%,被打率.234,被BABIP.265,被出塁率.316,被長打率.330,K/BB1.82,K/95.69,BB/93.12,HR/90.55,GO/AO0.45,援護率4.15,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.67,78.0%,0.21,0.02,-0.45,167,0.0,52,24,0.0,0,0,0,
